x,y
277,165
276,164
275,164
274,163
273,163
272,162
271,162
270,161
269,161
268,160
267,160
266,159
265,159
264,158
263,158
262,157
261,157
260,156
259,156
258,155
257,155
256,154
255,154
254,153
253,153
252,152
251,152
250,151
249,151
248,150
247,150
246,149
245,149
244,148
243,148
242,147
240,147
239,146
238,147
236,147
233,150
232,150
225,157
224,157
217,164
216,164
209,171
208,171
202,177
201,177
194,184
193,184
186,191
185,191
181,195
181,197
180,198
181,199
181,201
182,201
183,202
184,202
185,203
186,203
187,204
188,204
189,205
190,205
191,206
192,206
193,207
195,207
196,208
197,208
198,209
199,209
200,210
201,210
202,211
203,211
204,212
206,212
207,213
208,213
209,214
210,214
211,215
212,215
213,216
214,216
215,217
217,217
218,218
219,218
220,219
221,219
222,220
223,220
224,221
225,221
226,222
227,222
228,223
230,223
231,224
233,224
234,225
235,225
234,225
233,224
231,224
230,223
228,223
227,222
226,222
225,221
224,221
223,220
222,220
221,219
220,219
219,218
218,218
217,217
215,217
214,216
213,216
212,215
211,215
210,214
209,214
208,213
207,213
206,212
204,212
203,211
202,211
201,210
200,210
199,209
198,209
197,208
196,208
195,207
193,207
192,206
191,206
190,205
189,205
188,204
187,204
186,203
185,203
184,202
183,202
181,200
181,199
180,198
181,197
181,196
187,190
188,190
195,183
196,183
203,176
204,176
210,170
211,170
218,163
219,163
226,156
227,156
234,149
235,149
237,147
238,147
239,146
240,147
242,147
243,148
244,148
245,149
246,149
247,150
248,150
249,151
250,151
251,152
252,152
253,153
254,153
255,154
256,154
257,155
258,155
259,156
260,156
261,157
262,157
263,158
264,158
265,159
266,159
267,160
268,160
269,161
270,161
271,162
272,162
273,163
274,163
275,164
276,164
279,167
279,169
278,170
278,172
277,173
277,174
276,175
276,176
275,177
275,178
274,179
274,181
273,182
273,183
272,184
272,185
271,186
271,187
270,188
270,189
269,190
269,192
267,194
267,197
269,197
270,198
272,198
273,199
275,199
276,200
278,200
279,201
281,201
282,202
284,202
285,203
287,203
288,204
290,204
291,205
293,205
294,206
296,206
297,207
299,207
300,208
303,208
304,209
306,209
307,210
309,210
310,211
312,211
313,212
315,212
316,213
318,213
319,214
321,214
322,215
324,215
325,216
327,216
328,217
330,217
330,103
333,100
336,100
338,102
338,110
339,111
339,112
380,112
380,72
379,72
378,71
341,71
340,72
339,72
339,73
338,74
338,80
337,81
332,81
330,79
330,19
329,19
328,18
x,y
325,10
324,11
311,11
310,12
298,12
297,13
294,13
293,14
292,14
291,15
291,16
289,18
289,21
290,22
290,29
290,21
289,20
289,19
290,18
290,17
294,13
297,13
298,12
310,12
311,11
324,11
325,10
335,10
336,11
337,11
338,12
338,61
339,62
339,63
385,63
386,64
387,64
388,65
388,119
387,120
341,120
340,121
339,121
339,122
338,123
338,224
336,226
330,226
329,225
327,225
326,224
324,224
323,223
321,223
320,222
318,222
317,221
315,221
314,220
311,220
310,219
308,219
307,218
305,218
304,217
302,217
301,216
299,216
298,215
296,215
295,214
293,214
292,213
290,213
289,212
287,212
286,211
284,211
283,210
281,210
280,209
278,209
277,208
275,208
274,207
272,207
271,206
269,206
268,205
266,205
265,204
263,204
262,203
260,203
258,201
258,200
257,199
257,198
258,197
258,195
259,194
259,193
260,192
260,191
261,190
261,189
262,188
262,186
263,185
263,184
264,183
264,182
265,181
265,180
266,179
266,178
267,177
267,175
268,174
268,173
269,172
269,170
268,169
267,169
266,168
265,168
264,167
263,167
262,166
261,166
260,165
259,165
258,164
257,164
256,163
255,163
254,162
253,162
252,161
251,161
250,160
249,160
248,159
247,159
246,158
245,158
244,157
243,157
242,156
238,156
235,159
234,159
227,166
226,166
220,172
219,172
212,179
211,179
204,186
203,186
196,193
195,193
193,195
193,198
194,198
195,199
196,199
197,200
199,200
200,201
201,201
202,202
203,202
204,203
205,203
206,204
207,204
208,205
210,205
211,206
212,206
213,207
214,207
215,208
216,208
217,209
218,209
219,210
221,210
222,211
223,211
224,212
225,212
226,213
227,213
228,214
229,214
230,215
231,215
232,216
234,216
235,217
236,217
237,218
238,218
239,219
240,219
241,220
242,220
243,221
245,221
246,222
247,222
248,223
249,223
250,224
251,224
252,225
253,225
254,226
255,226
257,228
257,232
255,234
183,234
180,231
179,231
176,228
175,228
172,225
171,225
168,222
167,222
164,219
163,219
161,217
160,217
157,214
156,214
153,211
152,211
149,208
148,208
145,205
144,205
141,202
140,202
138,200
135,200
126,209
125,209
119,215
118,215
117,214
117,211
116,210
115,210
114,209
115,208
116,208
126,198
127,198
134,191
135,191
136,190
137,191
139,191
142,194
143,194
146,197
147,197
150,200
151,200
154,203
155,203
158,206
159,206
161,208
162,208
165,211
166,211
169,214
170,214
173,217
174,217
177,220
178,220
181,223
182,223
185,226
230,226
231,227
235,227
231,227
230,226
186,226
184,224
183,224
180,221
179,221
176,218
175,218
172,215
171,215
168,212
167,212
164,209
163,209
161,207
160,207
157,204
156,204
153,201
152,201
149,198
148,198
145,195
144,195
141,192
140,192
139,191
137,191
136,190
135,191
133,191
125,199
124,199
114,209
117,212
117,215
120,215
127,208
128,208
136,200
137,200
138,201
139,201
142,204
143,204
146,207
147,207
150,210
151,210
154,213
155,213
158,216
159,216
161,218
162,218
165,221
166,221
169,224
170,224
173,227
174,227
177,230
178,230
181,233
182,233
183,234
255,234
256,233
257,233
257,227
256,227
255,226
254,226
253,225
252,225
251,224
250,224
249,223
248,223
247,222
246,222
245,221
243,221
242,220
241,220
240,219
239,219
238,218
237,218
236,217
235,217
234,216
232,216
231,215
230,215
229,214
228,214
227,213
226,213
225,212
224,212
223,211
222,211
221,210
219,210
218,209
217,209
216,208
215,208
214,207
213,207
212,206
211,206
210,205
208,205
207,204
206,204
205,203
204,203
203,202
202,202
201,201
200,201
199,200
197,200
196,199
195,199
193,197
193,196
197,192
198,192
205,185
206,185
213,178
214,178
221,171
222,171
228,165
229,165
236,158
237,158
239,156
242,156
243,157
244,157
245,158
246,158
247,159
248,159
249,160
250,160
251,161
252,161
253,162
254,162
255,163
256,163
257,164
258,164
259,165
260,165
261,166
262,166
263,167
264,167
265,168
266,168
269,171
269,172
268,173
268,174
267,175
267,177
266,178
266,179
265,180
265,181
264,182
264,183
263,184
263,185
262,186
262,188
261,189
261,190
260,191
260,192
259,193
259,194
258,195
258,197
257,198
257,199
258,200
258,202
259,202
260,203
262,203
263,204
265,204
266,205
268,205
269,206
271,206
272,207
274,207
275,208
277,208
278,209
280,209
281,210
283,210
284,211
286,211
287,212
289,212
290,213
292,213
293,214
295,214
296,215
298,215
299,216
301,216
302,217
304,217
305,218
307,218
308,219
310,219
311,220
314,220
315,221
317,221
318,222
320,222
321,223
323,223
324,224
326,224
327,225
329,225
330,226
337,226
337,225
338,224
338,123
341,120
388,120
388,64
386,64
385,63
340,63
338,61
338,11
336,11
335,10
x,y
30,9
29,10
27,10
26,11
25,11
25,12
24,13
24,15
23,16
23,107
24,108
24,110
25,111
25,112
142,112
143,111
144,111
146,109
147,109
149,107
150,107
152,105
153,105
155,103
156,103
158,101
159,101
161,99
162,99
164,97
167,97
169,99
170,99
173,102
174,102
177,105
178,105
182,109
183,109
186,112
187,112
190,115
191,115
195,119
196,119
199,122
200,122
203,125
202,126
202,127
199,130
199,131
196,134
196,135
193,138
193,139
190,142
190,143
187,146
187,147
184,150
185,151
194,151
196,149
196,148
199,145
199,144
202,141
202,140
205,137
205,136
208,133
208,132
211,129
211,128
212,127
212,121
211,120
210,120
206,116
205,116
202,113
201,113
198,110
197,110
193,106
192,106
189,103
188,103
185,100
184,100
180,96
179,96
176,93
175,93
172,90
171,90
169,88
167,88
166,87
165,88
163,88
162,89
161,89
159,91
158,91
156,93
155,93
153,95
152,95
150,97
149,97
147,99
146,99
144,101
143,101
141,103
140,103
139,104
33,104
31,102
31,20
34,17
248,17
249,18
250,18
251,19
247,23
247,24
243,28
243,29
239,33
239,34
235,38
235,39
230,44
230,45
226,49
226,50
222,54
222,55
220,57
220,59
219,60
220,61
220,63
221,64
221,66
222,67
222,68
223,69
223,70
224,71
224,72
225,73
225,74
226,75
226,76
227,77
227,78
228,79
228,80
229,81
229,82
230,83
230,84
231,85
231,86
232,87
232,88
233,89
233,90
234,91
234,93
235,94
235,95
236,96
236,97
237,98
237,99
238,100
238,101
239,102
239,103
240,104
240,105
241,106
241,107
242,108
242,109
243,110
243,111
244,112
244,113
245,114
245,115
246,116
246,117
253,117
254,116
256,116
257,115
260,115
261,114
263,114
264,113
266,113
267,112
269,112
270,111
272,111
273,110
275,110
276,109
278,109
279,108
281,108
282,107
284,107
285,106
286,106
286,100
285,99
285,98
283,96
283,95
282,94
282,93
280,91
280,90
279,89
279,88
277,86
277,85
275,83
275,82
274,81
274,80
272,78
272,77
270,75
270,74
269,73
269,72
267,70
267,69
266,68
266,65
267,64
267,63
270,60
270,59
272,57
272,56
275,53
275,52
277,50
277,49
281,45
281,43
279,43
278,42
276,42
275,41
275,42
278,42
279,43
280,43
281,44
278,47
278,48
276,50
276,51
273,54
273,55
271,57
271,58
268,61
268,62
266,64
266,69
268,71
268,72
270,74
270,75
271,76
271,77
273,79
273,80
275,82
275,83
276,84
276,85
278,87
278,88
280,90
280,91
281,92
281,93
283,95
283,96
284,97
284,98
286,100
286,105
284,107
282,107
281,108
279,108
278,109
276,109
275,110
273,110
272,111
270,111
269,112
267,112
266,113
264,113
263,114
261,114
260,115
257,115
256,116
254,116
253,117
247,117
245,115
245,114
244,113
244,112
243,111
243,110
242,109
242,108
241,107
241,106
240,105
240,104
239,103
239,102
238,101
238,100
237,99
237,98
236,97
236,96
235,95
235,94
234,93
234,91
233,90
233,89
232,88
232,87
231,86
231,85
230,84
230,83
229,82
229,81
228,80
228,79
227,78
227,77
226,76
226,75
225,74
225,73
224,72
224,71
223,70
223,69
222,68
222,67
221,66
221,64
220,63
220,61
219,60
220,59
220,58
221,57
221,56
225,52
225,51
229,47
229,46
234,41
234,40
238,36
238,35
242,31
242,30
246,26
246,25
251,20
251,18
249,18
248,17
34,17
33,18
32,18
32,19
31,20
31,102
32,103
32,104
140,104
142,102
143,102
145,100
146,100
148,98
149,98
151,96
152,96
154,94
155,94
157,92
158,92
160,90
161,90
163,88
165,88
166,87
167,88
168,88
169,89
170,89
173,92
174,92
177,95
178,95
182,99
183,99
186,102
187,102
190,105
191,105
195,109
196,109
199,112
200,112
203,115
204,115
208,119
209,119
212,122
212,127
209,130
209,131
206,134
206,135
203,138
203,139
200,142
200,143
197,146
197,147
193,151
185,151
184,150
185,149
186,149
186,148
189,145
189,144
192,141
192,140
195,137
195,136
198,133
198,132
201,129
201,128
203,126
203,124
202,123
201,123
198,120
197,120
193,116
192,116
189,113
188,113
185,110
184,110
180,106
179,106
176,103
175,103
172,100
171,100
168,97
164,97
163,98
162,98
160,100
159,100
157,102
156,102
154,104
153,104
151,106
150,106
148,108
147,108
145,110
144,110
142,112
26,112
24,110
24,108
23,107
23,16
24,15
24,13
27,10
29,10
30,9
257,9
258,10
261,10
263,12
263,16
262,17
262,18
258,22
258,23
254,27
254,28
250,32
250,33
246,37
246,38
242,42
242,43
238,47
238,48
234,52
234,53
228,59
228,63
230,65
230,66
231,67
231,68
232,69
232,70
233,71
233,72
234,73
234,74
235,75
235,76
236,77
236,78
237,79
237,80
238,81
238,83
239,84
239,85
240,86
240,87
241,88
241,89
242,90
242,91
243,92
243,93
244,94
244,95
245,96
245,97
246,98
246,99
247,100
247,101
248,102
248,103
249,104
249,105
250,106
250,107
251,108
255,108
256,107
258,107
259,106
262,106
263,105
265,105
266,104
268,104
269,103
271,103
272,102
274,102
275,101
276,101
276,99
275,98
275,97
273,95
273,94
272,93
272,92
270,90
270,89
268,87
268,86
267,85
267,84
265,82
265,81
264,80
264,79
262,77
262,76
260,74
260,73
259,72
259,71
257,69
257,67
256,66
257,65
257,63
260,60
260,59
262,57
262,56
265,53
265,52
267,50
267,49
270,46
270,45
272,43
272,42
273,41
273,40
272,41
272,42
271,43
271,44
268,47
268,48
266,50
266,51
263,54
263,55
261,57
261,58
258,61
258,62
257,63
257,65
256,66
257,67
257,69
258,70
258,71
260,73
260,74
261,75
261,76
263,78
263,79
265,81
265,82
266,83
266,84
268,86
268,87
269,88
269,89
271,91
271,92
273,94
273,95
274,96
274,97
276,99
276,100
274,102
272,102
271,103
269,103
268,104
266,104
265,105
263,105
262,106
259,106
258,107
256,107
255,108
252,108
249,105
249,104
248,103
248,102
247,101
247,100
246,99
246,98
245,97
245,96
244,95
244,94
243,93
243,92
242,91
242,90
241,89
241,88
240,87
240,86
239,85
239,84
238,83
238,81
237,80
237,79
236,78
236,77
235,76
235,75
234,74
234,73
233,72
233,71
232,70
232,69
231,68
231,67
230,66
230,65
229,64
229,63
228,62
228,60
233,55
233,54
237,50
237,49
241,45
241,44
245,40
245,39
249,35
249,34
253,30
253,29
257,25
257,24
261,20
261,19
263,17
263,11
262,11
261,10
258,10
257,9
